Rating,Review
3 stars,"BHARATI HOSPITALis a 200-beded, multi-specialty Hospital located in Saraipali town of Mahasamund District (Chhattisgarh). The foundation was laid by Mr. Viswajit Gupta under guidance of Shri Jaynarayan Gupta & Dr. Bharat Kumar Gupta with a view to provide cost-effective, high-quality medical services, at par with Corporate Hospitals for the general public.

Within a radius of 60 km surrounding Saraipali, with a population of about 10 lakhs , there is virtually no basic, healthcare facility. There are many situations where the local people have suffered due to lack of immediate, medical attention or regular and timely monitoring. This was frequently happening on account of distance, non-availability of transportation, lack of healthcare facilities and financial inability to access emergency health facilities. We have now attempted to mitigate this problem by providing healthcare services to the under-served surroundings of SARAIPALI, for all sections, with proper infrastructure, equipment, skilled and experienced doctors and paramedical staff.

Bharati Hospitalis ideally located in the heart of the Saraipali town and is easily accessible to the neighboring areas. The Hospital is equipped with the latest, hi-tech, precision instruments, modern infrastructure, good trauma and critical-care facilitdical students are giving treatment to patient and doing experiments with patients. Very bad experience with staff and doctors. 
1 star,One of the worst hospital in Pune especially Dr. Pradeep Suryavanshi and his immatured team incapable of handling any patients and NICU facilities are more worst which lead to death of my child under them. 
3 stars,Huge hospital...almost all the facilities are available here...quietly maintained with all the procedure decided by hospital authority...good experience doctors are appointed for people...common people can go there as it not so expensive 
1 star,Need good management. Doctors are always away in ot. 
5 stars,"Very nice hospital. I was badly met with an accident and hospital staff including doctors helped and cured me very well. No words to say ""Thanks"" to all Bharati Hospital's member staff. "
5 stars,"I visited Bharati for direct walk for vaccinesion ,process was to smooth it takes hardly 10 min  .supportive staff .clear environment. "
5 stars,One of the best hospital visited ever is located near Katraj and few km from Swargate the staff and Dr are very helpful and co-operate with us and try their best the area surrounding the hospital is very clean 
1 star,behavior of doctr is rude..staff is not helpful.interns giving treatment to patients. which expermients on patients. 
2 stars,Problem here is inexperienced doctors who are learning while treating and there is no senior experienced doctor who can guide them and prevent from making mistake which costs too much to patient. 
1 star,"No class
Hospital

Very much mismanaged hospital
Dull staff specially in ward nd special room
lot of negligence
Fightings amongst staff
Nd what to say
Don't ever think of admiring ur patients in this hospital
I c u nd causality is goos in emergency
Is what I can say
Otherwise

Worst worst worst

Never ever admit these money minders "
4 stars,"831 bedded Multispeciality Tertiary Care hospital with multiple NABH accreditations. The only one of its kind in Pune.
Affordable and decently good at services. "
1 star,Bad experience. Emergency ward looked like a marketplace. Rude staff only interested in money making 
1 star,"Be Careful. His Modus Operandi is to propose 3 hospital for delivery on Xerox paper very lightly printed where he can execute his crime of Cesarian with his partner in crime. E.g medipoint hospital, Chandan Nagar where there is no facility to keep baby in oxygen glass boxes then take things in writing after removing white water so you can not change hospital. Post delivery they will send new born to sahyadri for oxygen.

That's how these 3 goons build their clinic and hospital. "
1 star,Service not good staff not give any in ayurveda hospital  
4 stars,"Bharati hospital is medical hospital of Bharati medical collage also known as D Y Patil Medical collage operated by Bharati University.
It provides healthcare facility and has various departments. "
1 star,"Worst hospital ever I have visited in my life worst management, newly joined unprofessional Drs. Dont have manners. We can't meet patient. Don't visit this hospital. "
3 stars,Treatment is good but medical students is not correct treat the patient 
5 stars,"Better than most other hospitals! Better than Navale and Sassoon hospital anytime! Affordable, clean, hygienic and good services, experienced doctors "
3 stars,"Good hospital in katraj area pune.The bad thing is they only allowed 2 people with patient,if any other one want to go then the watchen demand money to get the extra pass. "
5 stars,Very big Hospital with multi specialty and also the medical university  
5 stars,"Good Hospital with all modernized Equipments, attached to medical college "
2 stars,Good Doctors But Telephone Operators Are Worst As they don't have Time To Speak with Patients even for 1 Sec. 
1 star,"Orthopaedic doctors searching medicine on Google and proscribed very funny.......
No seriousness in diagnosis..
Teasing patients n making fun of calling exraa to exray
Horrible experience ,never visit again. "
5 stars,"I love that place, b-coz there Dr. Staff & services there mediclinic, mediclame office staff.
And most I always  blood donate with friends every  3 month. "
1 star,"Third class level hospital,  b coj i cant trust this hospital his  not teke responsibility every 1 patient so i will him 0 reviews "
1 star,Dont waste your time and money !! My experience with pediatrics department is very worst. Most of the time only practitioners are there with very arrogant attitude. 
5 stars,"maintained  cleanliness & hygiene, co-opertive staff expert doctors affordable medication for patients "
1 star,DON'T EVER VISIT THIS HOSPITAL!! WORST MANAGEMENT SEEN IN HOSPITAL NURSE STAFF AND BROTHER STAFF HERE DON'T CARE ABOUT YOU ARE DYING OR WHAT EVER.. PLEASE MANAGEMENT COMMITTEE IF YOU ARE READING THIS TRY TO IMPROVE!!! JUST BECAUSE OF YOUR DOCTORS THIS HOSPITAL IS ALIVE!! 
4 stars,"in this hospital they provide best treatment , all doctor sister even other co - worker are friendly "
1 star,Nursing staff very poor nothing cooperate for patient relatives and nothing action at the night time non teaching staff so very very poor 
5 stars,Security is very tight The doctors take good care of the patient especially the hygiene 
5 stars,Best facillities...All tests are done at affordable rates...Supportive doctors...but staff sometimes not supportive...good for emergency cases 
1 star,Security guard service miss behavior and very  Dirty service but  hospital staff and doctor very good 
4 stars,"Good hospital and they maintain clean, doctors are very cooperative for coming patient "
1 star,Bharti super speciality hospital- ICU without doctors 
4 stars,Affordable and good treatment for skin care....I have got good results in 2 months of treatment for pimples... Very good and friendly doctors and staff 
5 stars,"It big hospital with every branch of medicine, with all facilities. "
1 star,"First (huge)money then patient. Worst hospital and very rude doctors...
One star is also bad for them.
I have very worst experience. "
5 stars,It's way better than most of the hospitals in Katraj. It is top quality medical school also. 
5 stars,"Dr Leena Shrivastava
Madam is so down to earth and her knowledge is awesome in her field , she is developmental pediatrician, thx mam "
1 star,"This hospital is not good, they kill the patient by giving an injection "
4 stars,Bhartee hospital is run by bhartee Vidyapeeth. Good service at low cost. All the facilities are available. 
1 star,Very slow process for paisent and not care to poor family...bad service for paisent....not caring...... improve payment ...bad bad bad service ICU and general ward....bad service 
5 stars,One of the best hospital in South pune. Affordable cost all specility available. 
5 stars,One of the biggest and well equipped hospitals in Pune city with marginal rates providing value for money in health care 
5 stars,"Vaccination done Today

Very well organised and Helpful stafff

Highly recommended "
1 star,Your emergency service is very third class .not responsible person there .all people are doing time pass. 
1 star,Dr is good but staf is very bad experience   waste . I'm not saticfad 
4 stars,"Good doctors , nice infra but slightly costly even for OPD "
1 star,It's bad hospital 
4 stars,I provide meals to the doctors working at bharati. And I love the way every doctor coordinates  
2 stars,"For covid vaccination, not good system here, too much waiting, no social distance, no fans. "
5 stars,Clean hospital I ever seen... good Medicare nd healthcare service 
4 stars,"Good hospital with pleasant  staff , value for money.. "
3 stars,"Somewhat OK hospital but doctors here are not well trained
Doctors available are mostly students of their college "
1 star,Worst hospital! Doctors not helpful at all... I would suggest you to never go here. 
5 stars,"Friendly staff and doctors.
All medical facilities available  here at single place.
Big parking space. "
1 star,"Unprofessional Staff.. Especially the Receptiordable healthcare service 
5 stars,good service 
1 star,"Fertility department Doctors are just sitting there to waste time and money of patients. We were taking treatment for last 6 months and I had very bad experience. Even they don't give any suggestions or advice to patients..(on reports what to do , how can we get improvement if there is any error/negative report ) Also there laboratory is not good they give error reports and just because of their wrong reports we have suffer alot emotionally and financially

I urge not to take treatment from such doctors and lab technicians don't rely on their reports.. .

If you get any wrong report (pls recheck with another lab) "
5 stars,"Best experience ever
Doctor are very supportive
If any one has financial problem one can meet social worker they will guide you "
1 star,Amche petient 15 days zl admit ahe. Billing details magat ahe kiti zale tr kontahi billing staff details det nhi... Nust... Ekde ja tikde ja as sangat ahe... 
4 stars,This is a famous hospital in Katraj..Many treatments are done here at very low cost...Doctors and other staff provide very good service...Parking facility is good...There is Shashanik College of the same trust nearby.. 
1 star,"Please don't go for the poor, not for the poor. Hospital case paper fee Rs. 250 for simple dressing, Rs. 250 should be returned. Hand gloves Rs. 50 for the doctor. Even if it is rough and Varun spends 3 hours, the doctor spends a lot of time, so the hospital does the work of the poor in a very good way. Think wh   More"
5 stars,"A government hospital with reasonable prices
It has all services
It lasts twenty-four hours "
1 star,"bharti hospital is a very bad hospital.
Here you are robbed. "
1 star,"One number is a wasteful hospital..Doctors are good but the staff is rubbish..Billing section people ask to pay 10 times deposit before admitting..People make requests but they don't show any mercy..Main building billing department considers itself the owner of the hospital. Spacial is a woman who considers herself to be very oversmart. General ward patients are charged with ICU. 10 thousand a day bill for covid and give only 2 pills a day. If the patient is discharged today, they call him back tomorrow and ask him to admit him again. Not talking about mediclaim.. There are some doctors who can't spell medicine correctly. 10 After going through the medical, I realized that the spelling is wrong. They are just sitting to collect money. The staff does not have the sense to speak properly at all.

This hospital, built by Kadam Saheb with so much effort, is becoming infamous because of this rude staff. "
1 star,"Dr. Gives time and seems to do it for hours
For an endoscopy, the paper has to be removed twice
Employees waste time talking to each other "
4 stars,"My mother had taken my brother for his dental treatment. Doctors are teachers but they also help a lot. Great care is taken. But the canteen in the hospital is a bit more costly. It is unaffordable for common people.
The rest of the hospital is well maintained. "
1 star,"How slowly that woman is working at the billing counter. After sitting for an hour, another one of the 3 files for the bill has not been cleared. "
1 star,"The original document is only here before the patient is admitted and the deposit and duty are signed.
#Worst_Hospital  "
5 stars,All types of treatment are available at very reasonable rates. All government schemes and all health insurance companies are available. The new super specialty hospital will be huge and will provide checkups and treatment under one roof. 
4 stars,"Cleanliness, prompt staff, parking arrangement, security and guides provide excellent service... "
4 stars,amazing 
5 stars,Good service available 
1 star,"Faltu hospital, ek number faltu "
4 stars,Hospital n medical college under Bharati Vidyapith 
5 stars,Affordable hospital clinic in pune katraj 
5 stars,"Bharti University is thanking you, my father underwent surgery in Bharti Hospital. "
1 star,None
5 stars,None
4 stars,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
3 stars,None
3 stars,None
5 stars,None
1 star,None
3 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
4 stars,None
5 stars,None
1 star,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
3 stars,None
1 star,None
4 stars,None
1 star,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
5 stars,None
5 stars,None
4 stars,None
1 star,None
3 stars,None
3 stars,None
5 stars,None
4 stars,None
4 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
1 star,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
1 star,None
5 stars,None
4 stars,None
3 stars,None
5 stars,None
1 star,None
4 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
2 stars,None
5 stars,None
4 stars,None
5 stars,None
3 stars,None
1 star,None
4 stars,None
1 star,None
5 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
3 stars,None
3 stars,None
4 stars,None
1 star,None
1 star,None
1 star,None
5 stars,None
5 stars,None
4 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
3 stars,None
4 stars,None
5 stars,None
4 stars,None
5 stars,None
4 stars,None
5 stars,None
4 stars,None
1 star,None
4 stars,None
5 stars,None
4 stars,None
5 stars,None
1 star,None
3 stars,None
4 stars,None
4 stars,None
5 stars,None
4 stars,None
5 stars,None
1 star,None
5 stars,None
2 stars,None
4 stars,None
5 stars,None
5 stars,None
1 star,None
4 stars,None
4 stars,None
4 stars,None
1 star,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
3 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
1 star,None
3 stars,None
3 stars,None
4 stars,None
4 stars,None
